"","split","nodesize","mtry","cluster_group","OOB","MSPE","rmspe"
"106",5,4,1,6,5.31255127321765,5.23422197116349,2.28784220853701
"107",5,4,2,3,4.6282547758891,4.32839321081067,2.08047908204112
"108",5,4,4,8,4.61290989291078,4.17020011467486,2.04210678336733
"109",5,4,6,5,4.69082639310517,4.16229216177035,2.04016964043933
"110",5,4,8,2,4.70197661514801,4.16813634607015,2.04160141704255
"111",5,6,1,7,5.31796468276078,5.22843988546637,2.28657820453759
"112",5,6,2,4,4.61232588767781,4.33560655841968,2.08221193888127
"113",5,6,4,1,4.59851458472532,4.16943706051715,2.04191994468861
"114",5,6,6,6,4.65343791537963,4.18412621264593,2.04551367940816
"115",5,6,8,3,4.68819974227559,4.17803673137481,2.04402464059874
"116",5,8,1,8,5.27286108225771,5.19896047086799,2.28012290696532
"117",5,8,2,5,4.60105061495425,4.29554132346717,2.07256877412238
"118",5,8,4,2,4.60147562595349,4.18196814010763,2.04498609777857
"119",5,8,6,7,4.64860702977444,4.15693988939304,2.03885749609752
"120",5,8,8,4,4.69099717403355,4.1240149195992,2.03076707664843
"121",5,10,1,1,5.30052247473258,5.21754390953668,2.28419436772283
"122",5,10,2,6,4.60043620722194,4.27317119473532,2.06716501391043
"123",5,10,4,3,4.58805668555248,4.16663127559225,2.04123278329353
"124",5,10,6,8,4.62840948177059,4.15747460910118,2.03898862407351
"125",5,10,8,5,4.66053446128795,4.1386143270232,2.03435845588313
"126",6,2,1,6,5.26050024981989,5.45908519562243,2.3364685308436
"127",6,2,2,3,4.55973401304265,5.15021405063963,2.26940830408272
"128",6,2,4,8,4.58369228685706,5.12068100658653,2.2628921774107
"129",6,2,6,5,4.60622494319899,5.25120895051609,2.29155164692313
"130",6,2,8,2,4.64223874941032,5.28316003005464,2.2985125690443
"131",6,4,1,7,5.30493195026591,5.51042559828637,2.34742957259347
"132",6,4,2,4,4.56321957701825,5.09211004673282,2.25657041696749
"133",6,4,4,1,4.55252184309054,5.13733498730447,2.26656899019299
"134",6,4,6,6,4.5853368907353,5.29724919660747,2.30157537278436
"135",6,4,8,3,4.62114785557881,5.36937148231633,2.31719042858293
"136",6,6,1,8,5.3062640682305,5.49333108026128,2.34378563018491
"137",6,6,2,5,4.56803747534264,4.98866596675678,2.23353217276062
"138",6,6,4,2,4.55196975827253,5.12532540771821,2.26391815393539
"139",6,6,6,7,4.58061986260151,5.26279423477383,2.29407807948505
"140",6,6,8,4,4.62684947130786,5.35297919542653,2.31365062086447
"141",6,8,1,1,5.28712905338039,5.48574405630829,2.34216653043892
"142",6,8,2,6,4.55492082442639,5.05166573244227,2.24759109547139
"143",6,8,4,3,4.54627308237182,5.12479543475223,2.26380110317851
"144",6,8,6,8,4.57421505021103,5.25054090642347,2.29140587989633
"145",6,8,8,5,4.59959984019294,5.33497158624865,2.30975574168539
"146",6,10,1,2,5.25129244397747,5.41900621951317,2.32787590294525
"147",6,10,2,7,4.54489279710322,5.04174104865213,2.24538216093656
"148",6,10,4,4,4.53787208242349,5.12809332991307,2.26452938376014
"149",6,10,6,1,4.55678854118277,5.2366933590637,2.28838225807309
"150",6,10,8,6,4.5901407297781,5.2904253071506,2.30009245621792
"151",7,2,1,7,5.27161588962385,5.39406068004533,2.32251171795652
"152",7,2,2,4,4.62027572381578,4.58377541442313,2.14097534185313
"153",7,2,4,1,4.63187521243729,4.51754303185876,2.12545125370091
"154",7,2,6,6,4.66421680898431,4.51448843781094,2.12473255677296
"155",7,2,8,3,4.69130337379254,4.56053642288557,2.13554124822855
"156",7,4,1,8,5.27206522709582,5.38873225607913,2.3213643092111
"157",7,4,2,5,4.61881566989713,4.54748725274887,2.13248382238855
"158",7,4,4,2,4.61332553690066,4.51184210021144,2.12410971943811
"159",7,4,6,7,4.64316107084226,4.46994077280265,2.11422344438866
"160",7,4,8,4,4.69373071251186,4.53127154446517,2.12867835627301
"161",7,6,1,1,5.32473538085696,5.42440602539852,2.3290354281115
"162",7,6,2,6,4.61172906686223,4.52206373278364,2.12651445628372
"163",7,6,4,3,4.60952272318036,4.43722742396133,2.1064727446519
"164",7,6,6,8,4.62944170622893,4.53132145790492,2.12869008028527
"165",7,6,8,5,4.66869224902608,4.51733652503179,2.12540267362017
"166",7,8,1,2,5.31255808014805,5.42407217597876,2.32896375583193
"167",7,8,2,7,4.60643705713443,4.53833895016498,2.1303377549499
"168",7,8,4,4,4.5960667950154,4.47971291451636,2.11653323019422
"169",7,8,6,1,4.61699678936822,4.46965978222652,2.11415699091305
"170",7,8,8,6,4.67140662004412,4.57867987250748,2.13978500614138
"171",7,10,1,3,5.31090823729627,5.44638552783299,2.33374924270646
"172",7,10,2,8,4.59628630987647,4.51772361741822,2.12549373497506
"173",7,10,4,5,4.56294413554915,4.48436063121103,2.11763090060828
"174",7,10,6,2,4.63577548526724,4.49718900294022,2.12065768169694
"175",7,10,8,7,4.65117845646086,4.49741057568267,2.12070992256901
"176",8,2,1,8,5.32022952336643,4.34470848855357,2.08439643267627
"177",8,2,2,5,4.65732274019978,3.93067452086472,1.98259287824423
"178",8,2,4,2,4.63281322610308,4.00939748078786,2.00234799193044
"179",8,2,6,7,4.67652431677923,4.11101117477876,2.02756286580189
"180",8,2,8,4,4.7203248293844,4.2288378960177,2.0564138435679
"181",8,4,1,1,5.3314902523892,4.35415181732436,2.08666044610146
"182",8,4,2,6,4.63805591302645,3.89089180546785,1.97253436103604
"183",8,4,4,3,4.62042976058293,4.00428573482813,2.00107114686813
"184",8,4,6,8,4.66941050269198,4.1487806010939,2.03685556706751
"185",8,4,8,5,4.71571031928428,4.25557800857301,2.06290523499578
"186",8,6,1,2,5.34311453016548,4.32078879264712,2.07865071444125
"187",8,6,2,7,4.63154848126718,3.93436524769053,1.98352344268741
"188",8,6,4,4,4.62237267908567,4.03918359381572,2.00977202533415
"189",8,6,6,1,4.65488671942023,4.17458987430556,2.04318131214671
"190",8,6,8,6,4.70517085950317,4.21407850485005,2.05282208309684
"191",8,8,1,3,5.32099954456328,4.33358905908366,2.08172742189838
"192",8,8,2,8,4.62936682136686,3.90950263934895,1.97724622628264
"193",8,8,4,5,4.6075666706449,4.00002270655338,2.00000567663029
"194",8,8,6,2,4.64835676413675,4.10324039446007,2.02564567347304
"195",8,8,8,7,4.68186555913938,4.1927224588534,2.04761384515084
"196",8,10,1,4,5.32961531853631,4.3561835193329,2.0871472203304
"197",8,10,2,1,4.62358093242117,3.90870944903083,1.97704563655744
"198",8,10,4,6,4.60155095743131,3.98692001998827,1.99672732740058
"199",8,10,6,3,4.64294720348173,4.0822714036127,2.02046316561641
"200",8,10,8,8,4.69284240285312,4.16078205708467,2.03979951394363
"201",9,2,1,1,5.32236518490559,4.92453209471966,2.2191286791711
"202",9,2,2,6,4.62340317428871,4.24124283693332,2.05942779357115
"203",9,2,4,3,4.61329205452848,4.19254494869289,2.0475704990776
"204",9,2,6,8,4.6468918927069,4.29528572079439,2.07250710995026
"205",9,2,8,5,4.69222059370174,4.29620353621495,2.07272852448529
"206",9,4,1,2,5.31174031844985,4.93898202036202,2.22238205994424
"207",9,4,2,7,4.61706756201611,4.24539051539971,2.06043454528401
"208",9,4,4,4,4.63747943035708,4.23454298969886,2.05780052232933
"209",9,4,6,1,4.65283829618775,4.26668813486501,2.06559631459417
"210",9,4,8,6,4.68528314786187,4.27730316562825,2.06816420180513
"211",9,6,1,3,5.31667046244652,4.97015463202497,2.22938436166242
"212",9,6,2,8,4.60353303631927,4.22551942973099,2.05560682761344
"213",9,6,4,5,4.60005591978146,4.23130954370481,2.05701471645314
"214",9,6,6,2,4.65079565355418,4.27845660898884,2.06844303982218
"215",9,6,8,7,4.67308258736041,4.27192332004932,2.06686315948815
"216",9,8,1,4,5.29377963280511,4.89385752193921,2.21220648266368
"217",9,8,2,1,4.59972676768888,4.21433443014684,2.05288441714258
"218",9,8,4,6,4.60504022403624,4.2132615435618,2.05262308852887
"219",9,8,6,3,4.61422295020763,4.27471070826933,2.06753735353665
"220",9,8,8,8,4.68405711209719,4.26409485479746,2.06496848760398
"221",9,10,1,5,5.33305050177902,4.95374567038592,2.22570116376524
"222",9,10,2,2,4.58776867646153,4.226767901628,2.05591047996453
"223",9,10,4,7,4.58297642013761,4.18700326043868,2.04621681657606
"224",9,10,6,4,4.62606569798734,4.22119639499896,2.05455503576783
"225",9,10,8,1,4.66052611835933,4.2117615610049,2.05225767412499
"226",10,2,1,2,5.29459410204077,5.31867509148078,2.30622529070357
"227",10,2,2,7,4.61801809623589,4.71748938162656,2.17197821849727
"228",10,2,4,4,4.59017190187486,4.65180085223586,2.15680338747783
"229",10,2,6,1,4.65074675968025,4.72664924665179,2.17408584160143
"230",10,2,8,6,4.70214759298515,4.63990385714286,2.15404360613773
"231",10,4,1,3,5.30297936658788,5.32153394937736,2.30684502066727
"232",10,4,2,8,4.62044471673593,4.67071702590645,2.16118417213954
"233",10,4,4,5,4.60552809867683,4.63754251417783,2.15349541772854
"234",10,4,6,2,4.66397767855559,4.67795561235119,2.1628582044025
"235",10,4,8,7,4.68051070986178,4.66114541164435,2.15896859904083
"236",10,6,1,4,5.28359382092021,5.31555786681986,2.30554936334485
"237",10,6,2,1,4.58705526556443,4.66461858510589,2.15977280867824
"238",10,6,4,6,4.59624004197625,4.63914208154638,2.15386677432621
"239",10,6,6,3,4.63204723884726,4.64764197424479,2.15583904182218
"240",10,6,8,8,4.67550586042703,4.63354132187996,2.15256621776891
"241",10,8,1,5,5.33259968119065,5.33114273974778,2.30892675062415
"242",10,8,2,2,4.60876768153287,4.71078472871985,2.17043422584511
"243",10,8,4,7,4.59203282296742,4.63146199648433,2.15208317601442
"244",10,8,6,4,4.63261722332965,4.64134821064664,2.15437884566449
"245",10,8,8,1,4.67185089240653,4.67562018482863,2.16231824318915
"246",10,10,1,6,5.28381327847817,5.32243105389932,2.30703945651116
"247",10,10,2,3,4.60135220832184,4.70000085017989,2.16794853494724
"248",10,10,4,8,4.57435654009818,4.60888311954208,2.14683094805858
"249",10,10,6,5,4.62035110135507,4.63515503220516,2.1529410192119
"250",10,10,8,2,4.66144594918964,4.64547049148695,2.15533535476198
"251",11,2,1,3,5.34824972452044,4.61313117358828,2.14782009805018
"252",11,2,2,8,4.64960079761967,3.88873369546265,1.97198724525861
"253",11,2,4,5,4.63961143160931,3.83401439633393,1.95806394081856
"254",11,2,6,2,4.68176185135376,3.92074562374332,1.98008727679951
"255",11,2,8,7,4.71528217128779,3.90049977941176,1.97496829833083
"256",11,4,1,4,5.31548963259184,4.55279964967734,2.13372904785901
"257",11,4,2,1,4.62206170500962,3.92129438328648,1.98022584148538
"258",11,4,4,6,4.63138059033554,3.85750513496286,1.96405324137684
"259",11,4,6,3,4.67858861573095,3.84091487072935,1.95982521433146
"260",11,4,8,8,4.71130839840845,3.87209373637106,1.96776363833949
"261",11,6,1,5,5.27152277288384,4.51303521004436,2.12439055026244
"262",11,6,2,2,4.62503190359922,3.88140447065974,1.97012803407792
"263",11,6,4,7,4.64347440504397,3.84282901232027,1.96031349847933
"264",11,6,6,4,4.67818952977962,3.86311498588978,1.96548085360549
"265",11,6,8,1,4.70339451576738,3.8487409228981,1.96182081824465
"266",11,8,1,6,5.29258451570647,4.53208728732013,2.12886995547406
"267",11,8,2,3,4.62591148733199,3.85263843117743,1.96281390640515
"268",11,8,4,8,4.62441706597074,3.81371299435022,1.95287301029796
"269",11,8,6,5,4.66290059419173,3.82765174566816,1.95643853613349
"270",11,8,8,2,4.68666087393126,3.87230193360613,1.96781653962104
"271",11,10,1,7,5.3114505000629,4.50733872509355,2.12304939299432
"272",11,10,2,4,4.62318621941954,3.88452881132504,1.97092080290534
"273",11,10,4,1,4.61433678070659,3.84845452924719,1.96174782509047
"274",11,10,6,6,4.63747381497011,3.80119473090171,1.94966528688945
"275",11,10,8,3,4.68192433252335,3.89528389690618,1.97364735880202
"276",12,2,1,4,5.27398761268901,5.8618616453411,2.42112817614869
"277",12,2,2,1,4.59274560777576,5.12379849037138,2.26358089989542
"278",12,2,4,6,4.60382525808139,5.03751313931411,2.24444049582833
"279",12,2,6,3,4.65795970521212,5.04763958649289,2.24669525892874
"280",12,2,8,8,4.68996542887938,4.9871163957346,2.23318525781777
"281",12,4,1,5,5.23683424624711,5.82647454377686,2.41380913573896
"282",12,4,2,2,4.58638421559783,5.07688312021977,2.25319398193315
"283",12,4,4,7,4.60175044161571,4.9595514508623,2.22700504060101
"284",12,4,6,4,4.65018755278102,4.98432733083202,2.23256071156688
"285",12,4,8,1,4.67168646457431,4.96514445744471,2.22826041059942
"286",12,6,1,6,5.23759024452347,5.79450261893716,2.40717731356399
"287",12,6,2,3,4.57526808479711,5.08585745590095,2.25518457246873
"288",12,6,4,8,4.5671292307428,4.98642716117331,2.23303093600902
"289",12,6,6,5,4.63665607100121,5.00007331390996,2.23608437092833
"290",12,6,8,2,4.67513798299683,4.9965400878515,2.23529418373768
"291",12,8,1,7,5.28233647206512,5.8598157346125,2.42070562741786
"292",12,8,2,4,4.5660796198032,5.0774692926779,2.25332405407609
"293",12,8,4,1,4.57173358517836,5.02640919587866,2.24196547606752
"294",12,8,6,6,4.62543651352329,4.93086982432743,2.22055619706582
"295",12,8,8,3,4.67099341119233,5.00270485554596,2.23667271981083
"296",12,10,1,8,5.27432331313048,5.88057591855827,2.42498988009399
"297",12,10,2,5,4.58360966060594,5.09955258025228,2.25821889555735
"298",12,10,4,2,4.58517487395006,5.02323989596554,2.2412585517886
"299",12,10,6,7,4.61067565367848,4.98533992752578,2.23278747925677
"300",12,10,8,4,4.65930150085295,4.97856496729667,2.23126981051075
"301",13,2,1,5,5.249184518821,5.79390773700571,2.40705374618136
"302",13,2,2,2,4.55532388556765,5.26093371379993,2.29367253848494
"303",13,2,4,7,4.56367810060278,5.33770059815506,2.31034642384103
"304",13,2,6,4,4.57369235119789,5.4037369539801,2.32459393313759
"305",13,2,8,1,4.61269205097264,5.49120381343284,2.34333177621796
"306",13,4,1,6,5.25077852534038,5.8303897281821,2.41461999664173
"307",13,4,2,3,4.56020125595896,5.24937801904739,2.29115211608644
"308",13,4,4,8,4.53422257505508,5.30759791210557,2.30382245672395
"309",13,4,6,5,4.57100730773152,5.45882155068408,2.33641211062691
"310",13,4,8,2,4.6132770973012,5.47107463315368,2.33903284140127
"311",13,6,1,7,5.23990856255365,5.79186176328703,2.40662871321835
"312",13,6,2,4,4.55680100728016,5.25484496336742,2.29234486135211
"313",13,6,4,1,4.52170436734912,5.27922220189055,2.29765580579219
"314",13,6,6,6,4.54719572417695,5.4029173023314,2.32441762648871
"315",13,6,8,3,4.59330207651869,5.47909560061774,2.34074680403878
"316",13,8,1,8,5.25590735408893,5.83455319272257,2.4154819793827
"317",13,8,2,5,4.53765816189827,5.22811574417426,2.28650732432115
"318",13,8,4,2,4.51896469355763,5.32581012308968,2.30777167915062
"319",13,8,6,7,4.54782664014527,5.37819412837988,2.31909338500628
"320",13,8,8,4,4.59481497579891,5.46181953531177,2.33705360129197
"321",13,10,1,1,5.28264367886299,5.84763139887165,2.41818762689574
"322",13,10,2,6,4.55385105925358,5.21115957902603,2.28279643836809
"323",13,10,4,3,4.51179932391404,5.28148240839505,2.29814760370065
"324",13,10,6,8,4.54638429440297,5.38581828686247,2.32073658282505
"325",13,10,8,5,4.58164670883256,5.45364298594907,2.33530361750867
"326",14,2,1,6,5.31516894550302,4.50643994791718,2.12283771115862
"327",14,2,2,3,4.65478898758208,3.83467094792716,1.95823158689854
"328",14,2,4,8,4.66385412587744,3.86881002905149,1.96692908592341
"329",14,2,6,5,4.69717131722287,3.91494088302752,1.97862095486415
"330",14,2,8,2,4.74266408431719,3.9277627603211,1.98185841076529
"331",14,4,1,7,5.34450027206174,4.55316674896498,2.13381506906409
"332",14,4,2,4,4.64738881398079,3.82780837854649,1.95647856582854
"333",14,4,4,1,4.64618622766646,3.83767631992132,1.95899880549257
"334",14,4,6,6,4.6795282614777,3.87089527465596,1.96745909097393
"335",14,4,8,3,4.72102117415709,3.91595644039883,1.97887757084637
"336",14,6,1,8,5.34400555534835,4.51542215066617,2.12495227020895
"337",14,6,2,5,4.65180399823834,3.83336003416131,1.95789683950951
"338",14,6,4,2,4.62196262876333,3.8326888503277,1.95772542771649
"339",14,6,6,7,4.67458150992488,3.87289151604357,1.96796634017037
"340",14,6,8,4,4.71116550256651,3.87316667134811,1.96803624746805
"341",14,8,1,1,5.33172084587575,4.53452401278509,2.12944218348024
"342",14,8,2,6,4.6535611293887,3.83251484040589,1.95768098535126
"343",14,8,4,3,4.61261564292307,3.81298650926219,1.95268699725844
"344",14,8,6,8,4.6533257102516,3.85477363118375,1.96335774406595
"345",14,8,8,5,4.7017064214403,3.90583431486081,1.97631837386106
"346",14,10,1,2,5.34784380700449,4.53469492341854,2.12948231347869
"347",14,10,2,7,4.63797976518041,3.84535173920319,1.96095684276916
"348",14,10,4,4,4.62188415851583,3.81642654515736,1.95356764540094
"349",14,10,6,1,4.64964689578702,3.83299102961376,1.9578026023105
"350",14,10,8,6,4.69633121117996,3.89534441445992,1.97366269014235
"351",15,2,1,7,5.28864148745499,4.98795671512989,2.23337339357526
"352",15,2,2,4,4.62150274654746,4.20152711733122,2.04976269780948
"353",15,2,4,1,4.64616090057475,4.15391905623814,2.03811654628437
"354",15,2,6,6,4.6648225953657,4.17216861889447,2.04258870526949
"355",15,2,8,3,4.68704077718085,4.34091035175879,2.08348514555751
"356",15,4,1,8,5.30124409805529,5.01310641741196,2.23899674350187
"357",15,4,2,5,4.63937824935395,4.19042731353922,2.04705332454707
"358",15,4,4,2,4.61368681011562,4.1171948201703,2.029087188903
"359",15,4,6,7,4.63512014371844,4.22828460182859,2.05627931026614
"360",15,4,8,4,4.66439053825844,4.30114341356086,2.0739198184985
"361",15,6,1,1,5.28841322633095,5.00557048553835,2.23731322919665
"362",15,6,2,6,4.62071732770189,4.13520580821169,2.0335205453134
"363",15,6,4,3,4.6155640679287,4.09528300920296,2.02368056006944
"364",15,6,6,8,4.65657555393727,4.22355960462451,2.05513007000153
"365",15,6,8,5,4.67278329352136,4.2988277075363,2.07336145125164
"366",15,8,1,2,5.29627641924898,5.0065145916051,2.23752421028357
"367",15,8,2,7,4.62256616747198,4.1762850313353,2.04359610278922
"368",15,8,4,4,4.60279105437182,4.07175814871287,2.01785979411675
"369",15,8,6,1,4.62162755933652,4.1877455908641,2.04639819948711
"370",15,8,8,6,4.6650170996171,4.30696697675498,2.07532334269987
"371",15,10,1,3,5.31759085868224,4.99076356902248,2.23400169405094
"372",15,10,2,8,4.61524140290156,4.15480968937369,2.03833502873637
"373",15,10,4,5,4.59052566914092,4.0747389762305,2.01859827014453
"374",15,10,6,2,4.61714843819109,4.11528342666653,2.02861613585876
"375",15,10,8,7,4.65571701878106,4.26002258605459,2.06398221553738
"376",16,2,1,8,5.29883663412951,5.58384683938932,2.36301647040162
"377",16,2,2,5,4.61086628891357,4.96122369193826,2.22738045513968
"378",16,2,4,2,4.6098682399365,5.03361209195008,2.24357128078207
"379",16,2,6,7,4.64735288200014,5.11891160659899,2.26250118377847
"380",16,2,8,4,4.67322136798946,5.16583905456853,2.27284822515022
"381",16,4,1,1,5.2929046264673,5.55221922631973,2.3563147553584
"382",16,4,2,6,4.58569123366789,4.87823910540233,2.20867360771173
"383",16,4,4,3,4.59397477933852,5.00878064383177,2.23803052790434
"384",16,4,6,8,4.61801195389139,5.06902346277496,2.25144919169298
"385",16,4,8,5,4.66617511955708,5.16954363279047,2.27366304293105
"386",16,6,1,2,5.2464922135359,5.5404176112041,2.35380917051576
"387",16,6,2,7,4.60716287514312,4.86645464744632,2.20600422652503
"388",16,6,4,4,4.59686533739985,5.02442693026227,2.24152335037186
"389",16,6,6,1,4.61483992476915,5.07950856436407,2.25377651162755
"390",16,6,8,6,4.65343036184277,5.12101148891709,2.26296519834422
"391",16,8,1,3,5.26216322231563,5.55675111358786,2.35727620646963
"392",16,8,2,8,4.59936995151801,4.8861502474093,2.21046380821069
"393",16,8,4,5,4.59164661398122,4.94079676805861,2.22279031131113
"394",16,8,6,2,4.60577533705743,5.08472750380075,2.25493403535464
"395",16,8,8,7,4.64353411167498,5.10991421705608,2.26051193694174
"396",16,10,1,4,5.27972011575264,5.50935219667035,2.34720092805672
"397",16,10,2,1,4.57542333936892,4.86751612107875,2.20624480080492
