"","iter","eta","nrounds","max_depth","subsample","rmse","predict"
"91",1,0.01,1000,20,0.5,9.874572,9.94183745321183
"92",1,0.01,1000,20,0.6,9.8739148,9.93963495184704
"93",1,0.01,1000,20,0.75,9.872339,9.94215617125356
"94",1,0.01,1000,20,0.9,9.873672,9.94143799425086
"95",1,0.01,1000,20,1,9.8732366,9.94122940984149
"96",1,0.01,1000,30,0.5,9.8733286,9.94048194864468
"97",1,0.01,1000,30,0.6,9.8737846,9.94191154910504
"98",1,0.01,1000,30,0.75,9.8726722,9.94144863830901
"99",1,0.01,1000,30,0.9,9.8725664,9.94180361416666
"100",1,0.01,1000,30,1,9.8727476,9.94122940984149
"101",1,0.1,20,3,0.5,9.0427876,9.096012047221
"102",1,0.1,20,3,0.6,9.041358,9.10420393421466
"103",1,0.1,20,3,0.75,9.0366044,9.0942747950687
"104",1,0.1,20,3,0.9,9.038251,9.09621934227541
"105",1,0.1,20,3,1,9.0367336,9.10090233206319
"106",1,0.1,20,6,0.5,9.0393098,9.09327720371389
"107",1,0.1,20,6,0.6,9.0360342,9.09819863101765
"108",1,0.1,20,6,0.75,9.034463,9.08023087260405
"109",1,0.1,20,6,0.9,9.030843,9.08572102196609
"110",1,0.1,20,6,1,9.0288402,9.08658635748573
"111",1,0.1,20,12,0.5,9.0374246,9.07641520306827
"112",1,0.1,20,12,0.6,9.035384,9.11274100854717
"113",1,0.1,20,12,0.75,9.0313282,9.09983677123721
"114",1,0.1,20,12,0.9,9.0335496,9.08086150016715
"115",1,0.1,20,12,1,9.0337272,9.08806478354221
"116",1,0.1,20,20,0.5,9.0369322,9.0944921939211
"117",1,0.1,20,20,0.6,9.0350144,9.09723437173196
"118",1,0.1,20,20,0.75,9.032419,9.09522247271876
"119",1,0.1,20,20,0.9,9.0286018,9.08581070950567
"120",1,0.1,20,20,1,9.0322884,9.08806478354221
"121",1,0.1,20,30,0.5,9.036015,9.08357886656615
"122",1,0.1,20,30,0.6,9.0348236,9.08677289854966
"123",1,0.1,20,30,0.75,9.033989,9.09431828752451
"124",1,0.1,20,30,0.9,9.0331162,9.08851061557349
"125",1,0.1,20,30,1,9.0328986,9.08806478354221
"126",1,0.1,200,3,0.5,9.0393872,9.09901402722777
"127",1,0.1,200,3,0.6,9.034276,9.09804012181688
"128",1,0.1,200,3,0.75,9.0365348,9.10005049255367
"129",1,0.1,200,3,0.9,9.0382412,9.09554519628565
"130",1,0.1,200,3,1,9.0373768,9.10090233206319
"131",1,0.1,200,6,0.5,9.0370472,9.08942099396892
"132",1,0.1,200,6,0.6,9.0335998,9.10425183635618
"133",1,0.1,200,6,0.75,9.0334186,9.09840489843265
"134",1,0.1,200,6,0.9,9.0336102,9.09055050990827
"135",1,0.1,200,6,1,9.0316418,9.08658635748573
"136",1,0.1,200,12,0.5,9.0354792,9.10487311547907
"137",1,0.1,200,12,0.6,9.034034,9.09639295276319
"138",1,0.1,200,12,0.75,9.0323864,9.08880194032932
"139",1,0.1,200,12,0.9,9.033002,9.08528924823275
"140",1,0.1,200,12,1,9.0323288,9.08806478354221
"141",1,0.1,200,20,0.5,9.0318754,9.09633411306534
"142",1,0.1,200,20,0.6,9.035742,9.09990358043726
"143",1,0.1,200,20,0.75,9.033796,9.08457399879698
"144",1,0.1,200,20,0.9,9.0327266,9.09522798024979
"145",1,0.1,200,20,1,9.0304276,9.08806478354221
"146",1,0.1,200,30,0.5,9.0373556,9.09139459679119
"147",1,0.1,200,30,0.6,9.0353906,9.08434955066543
"148",1,0.1,200,30,0.75,9.034417,9.09583354533609
"149",1,0.1,200,30,0.9,9.0323046,9.0900464101548
"150",1,0.1,200,30,1,9.033749,9.08806478354221
"151",1,0.1,500,3,0.5,9.0344296,9.09468085426727
"152",1,0.1,500,3,0.6,9.0396438,9.10075901968028
"153",1,0.1,500,3,0.75,9.038413,9.100288181918
"154",1,0.1,500,3,0.9,9.0362714,9.09990544025987
"155",1,0.1,500,3,1,9.034262,9.10090233206319
"156",1,0.1,500,6,0.5,9.0319846,9.09223820237833
"157",1,0.1,500,6,0.6,9.0374336,9.1004510004949
"158",1,0.1,500,6,0.75,9.0337998,9.09365125778612
"159",1,0.1,500,6,0.9,9.0288926,9.08991067669744
"160",1,0.1,500,6,1,9.0299012,9.08658635748573
"161",1,0.1,500,12,0.5,9.0358194,9.08916470870025
"162",1,0.1,500,12,0.6,9.0316798,9.09215367386163
"163",1,0.1,500,12,0.75,9.0319668,9.10303695710119
"164",1,0.1,500,12,0.9,9.0303084,9.07018547115778
"165",1,0.1,500,12,1,9.0316042,9.08806478354221
"166",1,0.1,500,20,0.5,9.0344876,9.0919623915869
"167",1,0.1,500,20,0.6,9.0341162,9.08565755819575
"168",1,0.1,500,20,0.75,9.0288644,9.09141197437678
"169",1,0.1,500,20,0.9,9.030227,9.08939962111568
"170",1,0.1,500,20,1,9.0294462,9.08806478354221
"171",1,0.1,500,30,0.5,9.0357922,9.08579955208056
"172",1,0.1,500,30,0.6,9.0364658,9.08040184426805
"173",1,0.1,500,30,0.75,9.0360446,9.09009813274585
"174",1,0.1,500,30,0.9,9.033439,9.09051357841485
"175",1,0.1,500,30,1,9.0290856,9.08806478354221
"176",1,0.1,1000,3,0.5,9.036718,9.0949832539618
"177",1,0.1,1000,3,0.6,9.0354884,9.09481256215467
"178",1,0.1,1000,3,0.75,9.0341482,9.09837229660457
"179",1,0.1,1000,3,0.9,9.035308,9.10316466444195
"180",1,0.1,1000,3,1,9.0354268,9.10090233206319
"181",1,0.1,1000,6,0.5,9.0378592,9.07806197113429
"182",1,0.1,1000,6,0.6,9.0298814,9.07928310862506
"183",1,0.1,1000,6,0.75,9.0339348,9.08950197056688
"184",1,0.1,1000,6,0.9,9.0318632,9.09142211075173
"185",1,0.1,1000,6,1,9.029071,9.08658635748573
"186",1,0.1,1000,12,0.5,9.036855,9.07711256457432
"187",1,0.1,1000,12,0.6,9.0329638,9.0802990095349
"188",1,0.1,1000,12,0.75,9.0333764,9.08353891990522
"189",1,0.1,1000,12,0.9,9.0312344,9.08394102885803
"190",1,0.1,1000,12,1,9.0313108,9.08806478354221
"191",1,0.1,1000,20,0.5,9.036105,9.07628909183339
"192",1,0.1,1000,20,0.6,9.034678,9.09334488005502
"193",1,0.1,1000,20,0.75,9.0348472,9.08541278571588
"194",1,0.1,1000,20,0.9,9.0319826,9.08443156819119
"195",1,0.1,1000,20,1,9.030081,9.08806478354221
"196",1,0.1,1000,30,0.5,9.0289964,9.08113924638196
"197",1,0.1,1000,30,0.6,9.0323686,9.08637922369606
"198",1,0.1,1000,30,0.75,9.0373372,9.08766485976851
"199",1,0.1,1000,30,0.9,9.0331526,9.08972574055607
